product_id,product_name,category,sub_category,cost_price,retail_price,weight_kg
PROD-1070,Wireless Noise-Cancelling Headphones - Space Gray,Electronics,Audio & Headphones,85.0,229.0,2.51
PROD-1071,Wireless Noise-Cancelling Headphones - Arctic White,Electronics,Audio & Headphones,85.0,229.0,7.07
PROD-1072,Wireless Noise-Cancelling Headphones - Special Bundle,Electronics,Audio & Headphones,123.25,320.6,6.21
PROD-1073,True Wireless Earbuds Pro,Electronics,Audio & Headphones,45.0,149.0,7.91
PROD-1074,True Wireless Earbuds Pro - Pro Edition,Electronics,Audio & Headphones,56.25,190.72,10.05
PROD-1075,True Wireless Earbuds Pro - Plus,Electronics,Audio & Headphones,51.75,175.82,10.6
PROD-1076,True Wireless Earbuds Pro - Standard Pack,Electronics,Audio & Headphones,40.5,137.08,12.24
PROD-1077,True Wireless Earbuds Pro - Midnight Black,Electronics,Audio & Headphones,45.0,149.0,5.28
PROD-1078,True Wireless Earbuds Pro - Space Gray,Electronics,Audio & Headphones,45.0,149.0,2.76
PROD-1079,True Wireless Earbuds Pro - Arctic White,Electronics,Audio & Headphones,45.0,149.0,11.57
PROD-1080,True Wireless Earbuds Pro - Special Bundle,Electronics,Audio & Headphones,65.25,208.6,4.35
PROD-1081,Portable Bluetooth Speaker IPX7,Electronics,Audio & Headphones,28.0,79.0,8.49
PROD-1082,Portable Bluetooth Speaker IPX7 - Pro Edition,Electronics,Audio & Headphones,35.0,101.12,3.11
PROD-1083,Portable Bluetooth Speaker IPX7 - Plus,Electronics,Audio & Headphones,32.2,93.22,11.58
PROD-1084,Portable Bluetooth Speaker IPX7 - Standard Pack,Electronics,Audio & Headphones,25.2,72.68,9.31
PROD-1085,Portable Bluetooth Speaker IPX7 - Midnight Black,Electronics,Audio & Headphones,28.0,79.0,1.9
PROD-1086,Portable Bluetooth Speaker IPX7 - Space Gray,Electronics,Audio & Headphones,28.0,79.0,5.1
PROD-1087,Portable Bluetooth Speaker IPX7 - Arctic White,Electronics,Audio & Headphones,28.0,79.0,6.68
PROD-1088,Portable Bluetooth Speaker IPX7 - Special Bundle,Electronics,Audio & Headphones,40.6,110.6,3.95
PROD-1089,Dolby Atmos Soundbar System,Electronics,Audio & Headphones,140.0,329.0,8.06
PROD-1090,Dolby Atmos Soundbar System - Pro Edition,Electronics,Audio & Headphones,175.0,421.12,12.37
PROD-1091,Dolby Atmos Soundbar System - Plus,Electronics,Audio & Headphones,161.0,388.22,1.13
PROD-1092,Dolby Atmos Soundbar System - Standard Pack,Electronics,Audio & Headphones,126.0,302.68,5.11
PROD-1093,Dolby Atmos Soundbar System - Midnight Black,Electronics,Audio & Headphones,140.0,329.0,0.7
PROD-1094,Dolby Atmos Soundbar System - Space Gray,Electronics,Audio & Headphones,140.0,329.0,8.82
PROD-1095,Dolby Atmos Soundbar System - Arctic White,Electronics,Audio & Headphones,140.0,329.0,7.75
PROD-1096,Dolby Atmos Soundbar System - Special Bundle,Electronics,Audio & Headphones,203.0,460.6,2.65
PROD-1097,GPS Smart Fitness Watch,Electronics,Smart Home & Wearables,65.0,179.0,10.91
PROD-1098,GPS Smart Fitness Watch - Pro Edition,Electronics,Smart Home & Wearables,81.25,229.12,7.46
PROD-1099,GPS Smart Fitness Watch - Plus,Electronics,Smart Home & Wearables,74.75,211.22,3.37
PROD-1100,GPS Smart Fitness Watch - Standard Pack,Electronics,Smart Home & Wearables,58.5,164.68,5.12
PROD-1101,GPS Smart Fitness Watch - Midnight Black,Electronics,Smart Home & Wearables,65.0,179.0,11.07
PROD-1102,GPS Smart Fitness Watch - Space Gray,Electronics,Smart Home & Wearables,65.0,179.0,10.84
PROD-1103,GPS Smart Fitness Watch - Arctic White,Electronics,,65.0,179.0,4.65
PROD-1104,GPS Smart Fitness Watch - Special Bundle,Electronics,Smart Home & Wearables,94.25,250.6,2.67
PROD-1105,Smart Video Doorbell HD,Electronics,Smart Home & Wearables,40.0,119.0,2.84
PROD-1106,Smart Video Doorbell HD - Pro Edition,Electronics,Smart Home & Wearables,50.0,152.32,5.46
PROD-1107,Smart Video Doorbell HD - Plus,Electronics,Smart Home & Wearables,46.0,140.42,6.01
PROD-1108,Smart Video Doorbell HD - Standard Pack,Electronics,Smart Home & Wearables,36.0,109.48,12.46
PROD-1109,Smart Video Doorbell HD - Midnight Black,Electronics,Smart Home & Wearables,40.0,119.0,3.78
PROD-1110,Smart Video Doorbell HD - Space Gray,Electronics,Smart Home & Wearables,40.0,119.0,2.43
PROD-1111,Smart Video Doorbell HD - Arctic White,Electronics,Smart Home & Wearables,40.0,119.0,12.17
PROD-1112,Smart Video Doorbell HD - Special Bundle,Electronics,Smart Home & Wearables,58.0,166.6,3.54
PROD-1113,Mesh Wi-Fi 6 Router System,Electronics,Smart Home & Wearables,70.0,189.0,8.81
PROD-1114,Mesh Wi-Fi 6 Router System - Pro Edition,Electronics,Smart Home & Wearables,87.5,241.92,10.74
PROD-1115,Mesh Wi-Fi 6 Router System - Plus,Electronics,Smart Home & Wearables,80.5,223.02,8.65
PROD-1116,Mesh Wi-Fi 6 Router System - Standard Pack,Electronics,Smart Home & Wearables,63.0,173.88,5.73
PROD-1117,Mesh Wi-Fi 6 Router System - Midnight Black,Electronics,Smart Home & Wearables,70.0,189.0,9.4
PROD-1118,Mesh Wi-Fi 6 Router System - Space Gray,Electronics,Smart Home & Wearables,70.0,189.0,4.55
PROD-1119,Mesh Wi-Fi 6 Router System - Arctic White,Electronics,Smart Home & Wearables,70.0,189.0,8.76
PROD-1120,Mesh Wi-Fi 6 Router System - Special Bundle,Electronics,Smart Home & Wearables,101.5,264.6,2.79
PROD-1121,Smart LED Ambient Lighting Kit,Electronics,Smart Home & Wearables,18.0,59.0,8.03
PROD-1122,Smart LED Ambient Lighting Kit - Pro Edition,Electronics,Smart Home & Wearables,22.5,75.52,9.41
PROD-1123,Smart LED Ambient Lighting Kit - Plus,Electronics,Smart Home & Wearables,20.7,69.62,0.66
PROD-1124,Smart LED Ambient Lighting Kit - Standard Pack,Electronics,Smart Home & Wearables,16.2,54.28,5.71
PROD-1125,Smart LED Ambient Lighting Kit - Midnight Black,Electronics,Smart Home & Wearables,18.0,59.0,4.75
PROD-1126,Smart LED Ambient Lighting Kit - Space Gray,Electronics,Smart Home & Wearables,18.0,59.0,7.69
PROD-1127,Smart LED Ambient Lighting Kit - Arctic White,Electronics,Smart Home & Wearables,18.0,59.0,3.69
PROD-1128,Smart LED Ambient Lighting Kit - Special Bundle,Electronics,Smart Home & Wearables,26.1,82.6,6.78
PROD-1129,Fast Wireless Charging Pad 15W,Electronics,Accessories,9.0,29.0,10.48
PROD-1130,Fast Wireless Charging Pad 15W - Pro Edition,Electronics,Accessories,11.25,37.12,10.69
PROD-1131,Fast Wireless Charging Pad 15W - Plus,Electronics,Accessories,10.35,34.22,8.09
PROD-1132,Fast Wireless Charging Pad 15W - Standard Pack,Electronics,Accessories,8.1,26.68,0.36
PROD-1133,Fast Wireless Charging Pad 15W - Midnight Black,Electronics,Accessories,9.0,29.0,12.15
PROD-1134,Fast Wireless Charging Pad 15W - Space Gray,Electronics,Accessories,9.0,29.0,7.29
PROD-1135,Fast Wireless Charging Pad 15W - Arctic White,Electronics,Accessories,9.0,29.0,10.84
PROD-1136,Fast Wireless Charging Pad 15W - Special Bundle,Electronics,Accessories,13.05,40.6,1.33
PROD-1137,USB-C Multiport Hub Adapter,Electronics,Accessories,14.0,45.0,1.63
PROD-1138,USB-C Multiport Hub Adapter - Pro Edition,Electronics,Accessories,17.5,57.6,2.2
PROD-1139,USB-C Multiport Hub Adapter - Plus,Electronics,Accessories,16.1,53.1,11.15
PROD-1140,USB-C Multiport Hub Adapter - Standard Pack,Electronics,Accessories,12.6,41.4,9.61
PROD-1141,USB-C Multiport Hub Adapter - Midnight Black,Electronics,Accessories,14.0,45.0,3.74
PROD-1142,USB-C Multiport Hub Adapter - Space Gray,Electronics,Accessories,14.0,45.0,7.45
PROD-1143,USB-C Multiport Hub Adapter - Arctic White,Electronics,Accessories,14.0,45.0,11.78
PROD-1144,USB-C Multiport Hub Adapter - Special Bundle,Electronics,Accessories,20.3,63.0,0.77
PROD-1145,Ergonomic Wireless Mouse,Electronics,Accessories,16.0,49.0,1.85
PROD-1146,Ergonomic Wireless Mouse - Pro Edition,Electronics,Accessories,20.0,62.72,12.24
PROD-1147,Ergonomic Wireless Mouse - Plus,Electronics,Accessories,18.4,57.82,8.94
PROD-1148,Ergonomic Wireless Mouse - Standard Pack,Electronics,Accessories,14.4,45.08,7.51
PROD-1149,Ergonomic Wireless Mouse - Midnight Black,Electronics,Accessories,16.0,49.0,4.79
PROD-1150,Ergonomic Wireless Mouse - Space Gray,Electronics,Accessories,16.0,49.0,10.72
PROD-1151,Ergonomic Wireless Mouse - Arctic White,Electronics,Accessories,16.0,49.0,9.15
PROD-1152,Ergonomic Wireless Mouse - Special Bundle,Electronics,Accessories,23.2,68.6,5.88
PROD-1153,Mechanical RGB Gaming Keyboard,Electronics,Accessories,38.0,99.0,8.27
PROD-1154,Mechanical RGB Gaming Keyboard - Pro Edition,Electronics,Accessories,47.5,126.72,6.61
PROD-1155,Mechanical RGB Gaming Keyboard - Plus,Electronics,Accessories,43.7,116.82,6.78
PROD-1156,Mechanical RGB Gaming Keyboard - Standard Pack,Electronics,Accessories,34.2,91.08,4.96
PROD-1157,Mechanical RGB Gaming Keyboard - Midnight Black,Electronics,Accessories,38.0,99.0,8.17
PROD-1158,Mechanical RGB Gaming Keyboard - Space Gray,Electronics,Accessories,38.0,99.0,1.43
PROD-1159,Mechanical RGB Gaming Keyboard - Arctic White,Electronics,Accessories,38.0,99.0,2.03
PROD-1160,Mechanical RGB Gaming Keyboard - Special Bundle,Electronics,Accessories,55.1,138.6,10.33
PROD-1161,Premium Oxford Cotton Shirt,Apparel & Fashion,Men Clothing,14.0,48.0,1.1
PROD-1162,Premium Oxford Cotton Shirt - Pro Edition,Apparel & Fashion,Men Clothing,17.5,61.44,10.25
PROD-1163,Premium Oxford Cotton Shirt - Plus,Apparel & Fashion,Men Clothing,16.1,56.64,5.88
PROD-1164,Premium Oxford Cotton Shirt - Standard Pack,Apparel & Fashion,Men Clothing,12.6,44.16,3.55
PROD-1165,Premium Oxford Cotton Shirt - Midnight Black,Apparel & Fashion,Men Clothing,14.0,48.0,11.35
PROD-1166,Premium Oxford Cotton Shirt - Space Gray,Apparel & Fashion,Men Clothing,14.0,48.0,6.0
PROD-1167,Premium Oxford Cotton Shirt - Arctic White,Apparel & Fashion,Men Clothing,14.0,48.0,8.53
PROD-1168,Premium Oxford Cotton Shirt - Special Bundle,Apparel & Fashion,Men Clothing,20.3,67.2,11.6
PROD-1169,Slim-Fit Stretch Denim Jeans,Apparel & Fashion,Men Clothing,18.0,65.0,6.8
PROD-1170,Slim-Fit Stretch Denim Jeans - Pro Edition,Apparel & Fashion,Men Clothing,22.5,83.2,8.29
PROD-1171,Slim-Fit Stretch Denim Jeans - Plus,Apparel & Fashion,Men Clothing,20.7,76.7,7.59
PROD-1172,Slim-Fit Stretch Denim Jeans - Standard Pack,Apparel & Fashion,Men Clothing,16.2,59.8,6.82
PROD-1173,Slim-Fit Stretch Denim Jeans - Midnight Black,Apparel & Fashion,Men Clothing,18.0,65.0,5.19
PROD-1174,Slim-Fit Stretch Denim Jeans - Space Gray,Apparel & Fashion,Men Clothing,18.0,65.0,6.58
PROD-1175,Slim-Fit Stretch Denim Jeans - Arctic White,Apparel & Fashion,Men Clothing,18.0,65.0,3.01
PROD-1176,Slim-Fit Stretch Denim Jeans - Special Bundle,Apparel & Fashion,Men Clothing,26.1,91.0,4.2
PROD-1177,Merino Wool Crewneck Sweater,Apparel & Fashion,Men Clothing,24.0,85.0,3.63
PROD-1178,Merino Wool Crewneck Sweater - Pro Edition,Apparel & Fashion,Men Clothing,30.0,108.8,7.4
PROD-1179,Merino Wool Crewneck Sweater - Plus,Apparel & Fashion,Men Clothing,27.6,100.3,7.51
PROD-1180,Merino Wool Crewneck Sweater - Standard Pack,Apparel & Fashion,Men Clothing,21.6,78.2,11.63
PROD-1181,Merino Wool Crewneck Sweater - Midnight Black,Apparel & Fashion,Men Clothing,24.0,85.0,4.29
PROD-1182,Merino Wool Crewneck Sweater - Space Gray,Apparel & Fashion,Men Clothing,24.0,85.0,10.22
PROD-1183,Merino Wool Crewneck Sweater - Arctic White,Apparel & Fashion,Men Clothing,24.0,85.0,4.29
PROD-1184,Merino Wool Crewneck Sweater - Special Bundle,Apparel & Fashion,Men Clothing,34.8,119.0,9.04
PROD-1185,Waterproof Technical Parka,Apparel & Fashion,Men Clothing,45.0,149.0,2.18
PROD-1186,Waterproof Technical Parka - Pro Edition,Apparel & Fashion,Men Clothing,56.25,190.72,5.13
PROD-1187,Waterproof Technical Parka - Plus,Apparel & Fashion,Men Clothing,51.75,175.82,8.26
PROD-1188,Waterproof Technical Parka - Standard Pack,Apparel & Fashion,Men Clothing,40.5,137.08,11.18
PROD-1189,Waterproof Technical Parka - Midnight Black,Apparel & Fashion,Men Clothing,45.0,149.0,9.81
PROD-1190,Waterproof Technical Parka - Space Gray,Apparel & Fashion,Men Clothing,45.0,149.0,0.69
PROD-1191,Waterproof Technical Parka - Arctic White,Apparel & Fashion,Men Clothing,45.0,149.0,7.73
PROD-1192,Waterproof Technical Parka - Special Bundle,Apparel & Fashion,Men Clothing,65.25,208.6,6.51
PROD-1193,Silk Blend Wrap Midi Dress,Apparel & Fashion,Women Clothing,22.0,89.0,3.9
PROD-1194,Silk Blend Wrap Midi Dress - Pro Edition,Apparel & Fashion,Women Clothing,27.5,113.92,1.1
PROD-1195,Silk Blend Wrap Midi Dress - Plus,Apparel & Fashion,Women Clothing,25.3,105.02,1.78
PROD-1196,Silk Blend Wrap Midi Dress - Standard Pack,Apparel & Fashion,Women Clothing,19.8,81.88,0.57
PROD-1197,Silk Blend Wrap Midi Dress - Midnight Black,Apparel & Fashion,Women Clothing,22.0,89.0,10.99
PROD-1198,Silk Blend Wrap Midi Dress - Space Gray,Apparel & Fashion,Women Clothing,22.0,89.0,4.29
PROD-1199,Silk Blend Wrap Midi Dress - Arctic White,Apparel & Fashion,Women Clothing,22.0,89.0,3.29
PROD-1200,Silk Blend Wrap Midi Dress - Special Bundle,Apparel & Fashion,Women Clothing,31.9,124.6,12.29
PROD-1201,High-Waist Performance Leggings,Apparel & Fashion,Women Clothing,12.0,54.0,8.43
PROD-1202,High-Waist Performance Leggings - Pro Edition,Apparel & Fashion,Women Clothing,15.0,69.12,3.52
PROD-1203,High-Waist Performance Leggings - Plus,Apparel & Fashion,Women Clothing,13.8,63.72,4.0
PROD-1204,High-Waist Performance Leggings - Standard Pack,Apparel & Fashion,Women Clothing,10.8,49.68,10.94
PROD-1205,High-Waist Performance Leggings - Midnight Black,Apparel & Fashion,Women Clothing,12.0,54.0,5.17
PROD-1206,High-Waist Performance Leggings - Space Gray,Apparel & Fashion,Women Clothing,12.0,54.0,6.41
PROD-1207,High-Waist Performance Leggings - Arctic White,Apparel & Fashion,Women Clothing,12.0,54.0,10.11
PROD-1208,High-Waist Performance Leggings - Special Bundle,Apparel & Fashion,Women Clothing,17.4,75.6,0.46
PROD-1209,Tailored Wool Blazer,Apparel & Fashion,Women Clothing,36.0,135.0,11.61
PROD-1210,Tailored Wool Blazer - Pro Edition,Apparel & Fashion,Women Clothing,45.0,172.8,2.08
PROD-1211,Tailored Wool Blazer - Plus,Apparel & Fashion,Women Clothing,41.4,159.3,8.84
PROD-1212,Tailored Wool Blazer - Standard Pack,Apparel & Fashion,Women Clothing,32.4,124.2,9.28
PROD-1213,Tailored Wool Blazer - Midnight Black,Apparel & Fashion,Women Clothing,36.0,135.0,4.71
PROD-1214,Tailored Wool Blazer - Space Gray,Apparel & Fashion,Women Clothing,36.0,135.0,9.28
PROD-1215,Tailored Wool Blazer - Arctic White,Apparel & Fashion,Women Clothing,36.0,135.0,1.31
PROD-1216,Tailored Wool Blazer - Special Bundle,Apparel & Fashion,Women Clothing,52.2,189.0,1.94
PROD-1217,Cashmere Cardigan Sweater,Apparel & Fashion,Women Clothing,38.0,129.0,1.48
PROD-1218,Cashmere Cardigan Sweater - Pro Edition,Apparel & Fashion,Women Clothing,47.5,165.12,2.73
PROD-1219,Cashmere Cardigan Sweater - Plus,Apparel & Fashion,Women Clothing,43.7,152.22,7.05
PROD-1220,Cashmere Cardigan Sweater - Standard Pack,Apparel & Fashion,Women Clothing,34.2,118.68,2.98
PROD-1221,Cashmere Cardigan Sweater - Midnight Black,Apparel & Fashion,Women Clothing,38.0,129.0,0.56
PROD-1222,Cashmere Cardigan Sweater - Space Gray,Apparel & Fashion,Women Clothing,38.0,129.0,4.69
PROD-1223,Cashmere Cardigan Sweater - Arctic White,Apparel & Fashion,Women Clothing,38.0,129.0,4.39
PROD-1224,Cashmere Cardigan Sweater - Special Bundle,Apparel & Fashion,Women Clothing,55.1,180.6,7.11
PROD-1225,Cushioned Road Running Shoes,Apparel & Fashion,Footwear,32.0,120.0,12.38
PROD-1226,Cushioned Road Running Shoes - Pro Edition,Apparel & Fashion,Footwear,40.0,153.6,7.52
PROD-1227,Cushioned Road Running Shoes - Plus,Apparel & Fashion,Footwear,36.8,141.6,10.14
PROD-1228,Cushioned Road Running Shoes - Standard Pack,Apparel & Fashion,Footwear,28.8,110.4,5.24
PROD-1229,Cushioned Road Running Shoes - Midnight Black,Apparel & Fashion,Footwear,32.0,120.0,9.57
PROD-1230,Cushioned Road Running Shoes - Space Gray,Apparel & Fashion,Footwear,32.0,120.0,0.85
PROD-1231,Cushioned Road Running Shoes - Arctic White,Apparel & Fashion,Footwear,32.0,120.0,6.62
PROD-1232,Cushioned Road Running Shoes - Special Bundle,Apparel & Fashion,Footwear,46.4,168.0,10.8
PROD-1233,Classic Leather Dress Loafers,Apparel & Fashion,Footwear,42.0,140.0,9.8
PROD-1234,Classic Leather Dress Loafers - Pro Edition,Apparel & Fashion,Footwear,52.5,179.2,8.07
PROD-1235,Classic Leather Dress Loafers - Plus,Apparel & Fashion,Footwear,48.3,165.2,11.25
PROD-1236,Classic Leather Dress Loafers - Standard Pack,Apparel & Fashion,Footwear,37.8,128.8,1.3
PROD-1237,Classic Leather Dress Loafers - Midnight Black,Apparel & Fashion,Footwear,42.0,140.0,10.46
PROD-1238,Classic Leather Dress Loafers - Space Gray,Apparel & Fashion,Footwear,42.0,140.0,2.35
PROD-1239,Classic Leather Dress Loafers - Arctic White,Apparel & Fashion,Footwear,42.0,140.0,7.13
PROD-1240,Classic Leather Dress Loafers - Special Bundle,Apparel & Fashion,Footwear,60.9,196.0,9.82
PROD-1241,Waterproof Hiking Boots,Apparel & Fashion,Footwear,48.0,160.0,5.51
PROD-1242,Waterproof Hiking Boots - Pro Edition,Apparel & Fashion,Footwear,60.0,204.8,1.3
PROD-1243,Waterproof Hiking Boots - Plus,Apparel & Fashion,Footwear,55.2,188.8,0.25
PROD-1244,Waterproof Hiking Boots - Standard Pack,Apparel & Fashion,Footwear,43.2,147.2,2.66
PROD-1245,Waterproof Hiking Boots - Midnight Black,Apparel & Fashion,Footwear,48.0,160.0,7.99
PROD-1246,Waterproof Hiking Boots - Space Gray,Apparel & Fashion,Footwear,48.0,160.0,1.98
PROD-1247,Waterproof Hiking Boots - Arctic White,Apparel & Fashion,Footwear,48.0,160.0,12.44
PROD-1248,Waterproof Hiking Boots - Special Bundle,Apparel & Fashion,Footwear,69.6,224.0,11.62
PROD-1249,Casual Canvas Low-Top Sneakers,Apparel & Fashion,Footwear,15.0,55.0,9.77
PROD-1250,Casual Canvas Low-Top Sneakers - Pro Edition,Apparel & Fashion,Footwear,18.75,70.4,8.72
PROD-1251,Casual Canvas Low-Top Sneakers - Plus,Apparel & Fashion,Footwear,17.25,64.9,10.57
PROD-1252,Casual Canvas Low-Top Sneakers - Standard Pack,Apparel & Fashion,Footwear,13.5,50.6,11.58
PROD-1253,Casual Canvas Low-Top Sneakers - Midnight Black,Apparel & Fashion,Footwear,15.0,55.0,9.86
PROD-1254,Casual Canvas Low-Top Sneakers - Space Gray,Apparel & Fashion,Footwear,15.0,55.0,1.86
PROD-1255,Casual Canvas Low-Top Sneakers - Arctic White,Apparel & Fashion,Footwear,15.0,55.0,7.25
PROD-1256,Casual Canvas Low-Top Sneakers - Special Bundle,Apparel & Fashion,Footwear,21.75,77.0,5.29
